Gender,BMCT_tot,MI_avg_amax,MK_avg_amax,ME_avg_amax,mech_int_avg,mech_exp_avg,Mech_SE_avg,Masculinity_avg,Femininity_avg,Gender_Role,ST_Endorse_avg,female_STend_avg,male_STend_avg
0,35,2.75,2.8,2.8,3,2.666666667,3.5,4.15,5.05,-0.9,3,3.6,2.4
0,49,2,2.4,2,2.4,2,1.75,4.55,5.2,-0.65,2.4,2.2,2.6
0,42,3.5,3.4,4.2,3.2,3.777777778,5.5,5.75,4.85,0.9,2.4,3.2,1.6
0,36,2,3.2,2.6,2.4,2.777777778,4,4.85,4.95,-0.1,3.5,4.4,2.6
0,40,2.75,2.2,2.8,3,2.333333333,4.375,5.3,4.9,0.4,2.8,3.4,2.2
0,36,3,3,3,2.4,3.111111111,2.5,5.35,5.3,0.05,3.6,3.8,3.4
0,32,3,2,2,3,1.888888889,3,4.2,4.55,-0.35,3,3.6,2.4
0,40,2,2.5,2,2.4,2,3.25,4.75,5.315789474,-0.565789474,2.9,3.4,2.4
0,43,3.5,2,2.8,3,2.333333333,2.75,5.35,5.052631579,0.297368421,2.6,3.2,2
0,36,3,1.6,1.8,2.4,1.666666667,1.5,3.9,5.4,-1.5,3,3.8,2.2
0,38,4,2.8,3.6,3.2,3.333333333,4.75,5.65,4.45,1.2,2.8,3.6,2
0,34,2.75,2.8,3.4,3,3,4,5.55,3.75,1.8,1.9,2.6,1.2
0,34,1.75,2.6,3.4,2,3.222222222,1.875,5.95,5.85,0.1,1.5,2,1
0,31,4,3.6,3.8,3.6,3.666666667,2.875,5.6,5.578947368,0.021052632,2.7,3.2,2.2
0,50,4,3,3.2,3.4,3,5.125,4.95,5.684210526,-0.734210526,3.1,3,3.2
0,26,2.25,2.2,1.8,2.6,1.888888889,2.625,5.15,4.95,0.2,3.4,3.8,3
0,25,4,3.4,3.6,3.8,3.444444444,4.125,5.85,5.55,0.3,3.6,4.2,3
0,38,2.75,3,3,2.8,3,3.5,4.85,5.05,-0.2,2.777777778,2.6,3
0,55,4,3.6,3.2,3.8,3.333333333,4.5,5.722222222,4.631578947,1.090643275,1.5,1.6,1.4
0,59,3.25,2.8,2.6,3,2.555555556,5,3.6,4.85,-1.25,1.3,1.6,1
0,40,2.75,3.4,4,2.4,3.888888889,3.5,5.5,5.3,0.2,2,2.2,1.8
0,40,3.5,3,3.75,3.4,3.25,3.25,5.8,5.3,0.5,3.5,3.8,3.2
0,26,4,3.6,3.75,3.6,3.625,4,5.1,5.2,-0.1,3.2,3.6,2.8
0,40,2,2,1.8,2.2,1.777777778,2,4.5,4.7,-0.2,3,3,3
0,28,2.75,2.4,2.6,2.6,2.555555556,4,4.45,4.75,-0.3,1.8,2,1.6
0,35,1.75,3.2,2.8,1.8,3,2.5,6.05,5.45,0.6,3.3,3.4,3.2
0,28,2,2,3.2,2,2.857142857,4,5.05,5.25,-0.2,3.3,4.2,2.4
0,43,3.5,3,2.8,3.4,2.777777778,4.25,5.35,5.85,-0.5,2.8,3.2,2.4
0,45,3.25,2.6,2,3.4,2.111111111,3.375,4.45,4.95,-0.5,3.1,3.4,2.8
0,38,4,3.6,4.2,3.8,3.888888889,5.875,6.4,5.45,0.95,2.1,2.8,1.4
0,39,2,1.6,1.6,2.2,1.444444444,2.875,4.5,5.35,-0.85,2.4,2.4,2.4
0,50,3.75,3.6,3.8,3.6,3.666666667,4,5.3,5.2,0.1,1.6,1.8,1.4
0,30,3.25,3.4,3.6,3.2,3.444444444,3.5,3.85,5.45,-1.6,2.3,3,1.6
0,20,1,1.6,1.8,2.2,1.555555556,2,5.7,4.55,1.15,2.777777778,3,2.6
0,34,2.25,3,2.6,2.4,2.777777778,4.25,5.3,4.95,0.35,3.3,4,2.6
0,50,1.5,2.4,2,1.8,2.222222222,3.25,4.5,5.5,-1,2.5,2.8,2.2
